"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0031138,1.75,0.0021796,0.001,0.64285,9.5,-17.035,34.8,290.09,0.0034195,0.00048551,0.0062659,-0.0069633,-0.04877,34.8,9.5,1.7
0.0036962,1.75,0.0025888,0.001,0.64258,9.5,-17.035,34.9,290.09,0.0037128,0.00047953,0.013447,-0.0024603,-0.045253,34.9,9.5,1.7
0.0037078,1.75,0.0025982,0.001,0.64182,9.5,-17.035,35,290.1,0.0035576,0.00043886,0.021926,0.0069236,-0.032149,35,9.5,1.7
0.0033453,1.75,0.0023454,0.001,0.64071,9.5,-17.036,35.1,290.12,0.0030224,0.00035138,0.028027,0.020423,-0.011376,35.1,9.5,1.7
0.0026286,1.75,0.0018434,0.001,0.63971,9.5,-17.036,35.2,290.14,0.0022821,0.00025451,0.027053,0.034312,0.011355,35.2,9.5,1.7
0.0013911,1.75,0.00097519,0.001,0.63915,9.5,-17.035,35.3,290.16,0.0016702,0.00032746,0.017438,0.042585,0.027528,35.3,9.5,1.7
5.9192e-05,1.75,0.00042652,0.01,0.639,9.5,-17.035,35.4,290.17,0.0014474,0.00044309,0,0,0,35.4,9.5,1.7
0.00010729,1.75,0.00077784,0.01,0.66315,9.6,-17.012,31.9,290.14,0.0048156,0.0026856,0,0,0,31.9,9.6,1.7
0.0023826,1.75,0.0016664,0.001,0.66412,9.6,-17.012,32,290.12,0.0063498,0.0024386,-0.0030423,0.041465,-0.086423,32,9.6,1.7
0.0041066,1.75,0.0028727,0.001,0.66505,9.6,-17.012,32.1,290.11,0.0082121,0.002125,0.0022672,-0.0049338,-0.15324,32.1,9.6,1.7
0.0048105,1.75,0.0033659,0.001,0.6641,9.6,-17.011,32.2,290.14,0.0086941,0.0020244,0.010312,-0.04493,-0.18203,32.2,9.6,1.7
0.0050936,1.75,0.0035639,0.001,0.66176,9.6,-17.011,32.3,290.18,0.0089861,0.0020401,0.015548,-0.065621,-0.18315,32.3,9.6,1.7
0.0045804,1.75,0.0032048,0.001,0.65892,9.6,-17.011,32.4,290.24,0.0090025,0.0023024,0.016425,-0.070021,-0.16352,32.4,9.6,1.7
0.0027123,1.75,0.0018979,0.001,0.65635,9.6,-17.012,32.5,290.28,0.0081931,0.0038634,0.011518,-0.054484,-0.11263,32.5,9.6,1.7
0.00013259,1.75,0.00097281,0.01,0.65517,9.6,-17.012,32.6,290.3,0.0075055,0.0052118,0,0,0,32.6,9.6,1.7
7.8397e-05,1.75,0.00056382,0.01,0.64359,9.6,-17.035,34.6,290.08,0.0025334,0.0010273,0,0,0,34.6,9.6,1.7
0.0018338,1.75,0.0012834,0.001,0.64366,9.6,-17.035,34.7,290.07,0.0030314,0.00079375,-0.0025317,-0.0083611,-0.05951,34.7,9.6,1.7
0.0033635,1.75,0.0023549,0.001,0.64373,9.6,-17.035,34.8,290.07,0.0037905,0.00055318,-0.0026823,-0.0099246,-0.072224,34.8,9.6,1.7
0.0039857,1.75,0.0027919,0.001,0.64357,9.6,-17.036,34.9,290.06,0.0041237,0.00054864,0.00094448,-0.0058591,-0.070924,34.9,9.6,1.7
0.0040317,1.75,0.0028252,0.001,0.64291,9.6,-17.036,35,290.07,0.0040888,0.00053338,0.0083193,0.0042885,-0.057791,35,9.6,1.7
